Users,                                                                Data for Call Option                                                               ,,,,,,,"Time to maturity
 (in days)",Implied Volatility,,,,
,Ticker symbol,Date,Price,CE Expiry,Strike Price,Option Price,"# of 
contracts",,Brenner & Subrahmanyam,Actual,1-(K/S)e[−r(T−t)],Difference,
Group 6,Nifty 50,24/10/2017,10207.7,30/11/2017,10200,172.6,12929,37,13.28%,13.02%,0.011,0.26%,
Group 6,Nifty 50,08/11/2017,10303.15,30/11/2017,10300,143.55,40161,22,14.19%,14.07%,0.006,0.12%,
Group 6,Nifty 50,09/10/2017,10118.05,28/12/2017,10100,220.5,1260,80,11.64%,11.20%,0.023,0.44%,
Group 6,Nifty 50,30/10/2017,10118.25,28/12/2017,10100,168.45,62217,59,10.35%,9.82%,0.018,0.53%,
Group 6,Nifty 50,22/12/2017,10493,28/12/2017,10500,46.35,322657,6,8.61%,9.27%,0.001,-0.66%,
Group 6,Nifty 50,07/11/2017,10350.15,30/11/2017,10350,156.45,7243,23,15.05%,15.09%,0.006,-0.04%,
Group 6,Nifty 50,23/11/2017,10348.75,30/11/2017,10350,68.35,59313,7,11.92%,12.07%,0.002,-0.15%,
Group 6,Nifty 50,06/11/2017,10451.8,30/11/2017,10450,138.5,10412,24,12.92%,12.87%,0.007,0.05%,
Group 6,Nifty 50,03/11/2017,10452.5,30/11/2017,10450,131.55,9416,27,11.57%,11.49%,0.008,0.08%,
Group 6,Nifty 50,05/10/2017,9888.7,30/11/2017,9900,187.15,2020,56,12.08%,12.47%,0.014,-0.39%,
Group 6,Nifty 50,04/10/2017,9914.9,30/11/2017,9900,200.9,1637,57,12.82%,12.38%,0.017,0.44%,
Group 4,Nifty 50,30/01/2018,11049.65,26/04/2018,11000,337.2,96,86,15.72%,14.61%,0.028,1.11%,
Group 4,Nifty 50,31/01/2018,11027.7,26/04/2018,11050,295,1336,85,13.86%,14.40%,0.021,-0.54%,
Group 4,Nifty 50,01/02/2018,11016.9,26/04/2018,11050,257.2,3338,84,12.17%,12.95%,0.020,-0.78%,
Group 4,Nifty 50,02/02/2018,10760.6,26/04/2018,10900,232,9,83,11.30%,14.39%,0.010,-3.09%,
Group 4,Nifty 50,05/02/2018,10666.55,26/04/2018,10700,278,10,80,13.92%,14.76%,0.019,-0.84%,
Group 4,Nifty 50,06/02/2018,10498.25,26/04/2018,10500,328.15,332,79,16.80%,16.89%,0.021,-0.09%,
Group 4,Nifty 50,07/02/2018,10476.7,26/04/2018,10500,300.5,1992,78,15.51%,16.13%,0.019,-0.62%,
Group 4,Nifty 50,08/02/2018,10576.85,26/04/2018,10600,279.55,66,77,14.39%,15.00%,0.019,-0.61%,
Group 4,Nifty 50,09/02/2018,10454.95,26/04/2018,10500,300.9,133,76,15.77%,16.93%,0.016,-1.16%,
Group 4,Nifty 50,14/02/2018,10500.9,26/04/2018,10500,294.55,230,71,15.90%,15.92%,0.019,-0.02%,
Group 4,Nifty 50,15/02/2018,10545.5,26/04/2018,10500,315.1,83,70,17.06%,15.87%,0.023,1.19%,
Group 4,Nifty 50,16/02/2018,10452.3,26/04/2018,10500,264.4,206,69,14.54%,15.83%,0.014,-1.29%,
Group 4,Nifty 50,19/02/2018,10378.4,26/04/2018,10400,273.05,365,66,15.47%,16.10%,0.016,-0.63%,
Group 4,Nifty 50,20/02/2018,10360.4,26/04/2018,10400,258.1,305,65,14.76%,15.88%,0.014,-1.12%,
Group 4,Nifty 50,21/02/2018,10397.45,26/04/2018,10400,270.1,380,64,15.51%,15.62%,0.017,-0.11%,
Group 4,Nifty 50,22/02/2018,10382.7,26/04/2018,10400,245.1,345,63,14.21%,14.73%,0.015,-0.52%,
Group 4,Nifty 50,23/02/2018,10491.05,26/04/2018,10500,242.55,3209,62,14.02%,14.32%,0.016,-0.30%,
Group 4,Nifty 50,26/02/2018,10582.6,26/04/2018,10600,224.1,1070,59,13.17%,13.70%,0.014,-0.53%,
Group 1,Nifty 50,01/04/2015,8586.25,25/06/2015,8600,291.05,308,85,17.56%,18.01%,0.021,-0.45%,
Group 1,Nifty 50,06/04/2015,8659.9,25/06/2015,8700,261,40,80,16.09%,17.31%,0.017,-1.22%,
Group 1,Nifty 50,10/04/2015,8780.35,25/06/2015,8800,261.15,5138,76,16.30%,16.93%,0.018,-0.63%,
Group 1,Nifty 50,13/04/2015,8834,25/06/2015,8800,281.15,3162,73,17.79%,16.77%,0.024,1.02%,
Group 1,Nifty 50,15/04/2015,8750.2,25/06/2015,8700,328,169,71,21.25%,19.70%,0.025,1.55%,
Group 1,Nifty 50,17/04/2015,8606,25/06/2015,8600,273.9,107,69,18.30%,18.15%,0.019,0.15%,
Group 1,Nifty 50,20/04/2015,8448.1,25/06/2015,8400,305.8,74,66,21.28%,19.67%,0.024,1.61%,
Group 1,Nifty 50,24/04/2015,8305.25,25/06/2015,8300,301.45,176,62,22.02%,21.90%,0.017,0.12%,
Group 1,Nifty 50,27/04/2015,8213.8,25/06/2015,8200,277.9,189,59,21.04%,20.59%,0.018,0.45%,
Group 1,Nifty 50,30/04/2015,8181.5,25/06/2015,8200,250.75,879,56,19.56%,20.31%,0.013,-0.75%,
Group 1,Nifty 50,29/05/2015,8433.65,27/08/2015,8400,326.8,143,90,19.51%,18.58%,0.028,0.93%,
Group 1,Nifty 50,01/06/2015,8433.4,27/08/2015,8400,308,41,87,18.70%,17.76%,0.027,0.94%,
